Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Max Muncy,625,82,26,82,149,231,5,0.334,0.54,0.36,0.49,-0.8,0.58,0.08,0.02,1.27
Brandon Nimmo,630,80,22,73,135,237,8,0.333,0.53,0.3,0.43,-0.72,0.59,0.12,0.02,1.27
Romy Gonzalez,625,79,21,76,150,243,15,0.318,0.52,0.28,0.45,-0.8,0.61,0.24,-0.03,1.27
Adley Rutschman,625,75,20,73,103,226,2,0.334,0.5,0.27,0.43,-0.55,0.57,0.03,0.02,1.26
Gabriel Moreno,625,75,16,74,116,232,7,0.337,0.5,0.22,0.44,-0.62,0.58,0.1,0.03,1.26
Heliot Ramos,644,81,26,80,156,257,7,0.32,0.54,0.35,0.48,-0.84,0.64,0.1,-0.02,1.26
Tyler Soderstrom,625,80,25,80,150,251,6,0.325,0.53,0.34,0.47,-0.8,0.63,0.1,-0.01,1.26
Matt Olson,686,84,27,90,162,251,1,0.335,0.56,0.37,0.53,-0.87,0.63,0.02,0.02,1.26
Jung Hoo Lee,625,72,9,60,72,221,9,0.326,0.48,0.12,0.36,-0.39,0.56,0.14,-0.0,1.26
Tyler O'Neill,625,81,28,83,163,245,8,0.322,0.54,0.38,0.49,-0.87,0.61,0.12,-0.01,1.26
Ernie Clement,644,70,12,62,70,223,12,0.288,0.47,0.16,0.37,-0.38,0.56,0.19,-0.11,1.26
Lane Thomas,625,79,20,70,149,227,20,0.31,0.53,0.27,0.42,-0.8,0.57,0.32,-0.05,1.26
Lars Nootbaar,625,76,21,74,128,226,7,0.334,0.51,0.29,0.44,-0.69,0.57,0.11,0.02,1.25
Willson Contreras,625,80,25,82,157,240,6,0.342,0.53,0.34,0.49,-0.84,0.6,0.09,0.04,1.25
Lawrence Butler,625,82,25,75,167,241,17,0.309,0.54,0.34,0.44,-0.9,0.61,0.26,-0.05,1.25
Jesús Sánchez,625,80,23,74,147,238,12,0.317,0.53,0.31,0.44,-0.79,0.6,0.18,-0.03,1.25
Jorge Polanco,625,75,24,78,130,235,7,0.315,0.5,0.32,0.46,-0.7,0.59,0.11,-0.03,1.25
Yainer Diaz,625,72,21,79,115,249,3,0.307,0.48,0.29,0.47,-0.62,0.62,0.05,-0.05,1.24
Ian Happ,658,84,22,78,154,235,8,0.337,0.56,0.3,0.46,-0.83,0.59,0.13,0.03,1.24
Agustín Ramírez,625,73,21,77,129,235,10,0.31,0.48,0.29,0.46,-0.69,0.59,0.16,-0.05,1.24
Isaac Paredes,625,75,22,73,113,222,3,0.329,0.49,0.3,0.44,-0.61,0.56,0.05,0.01,1.24
Xavier Edwards,625,71,2,45,88,192,29,0.33,0.47,0.03,0.27,-0.47,0.48,0.45,0.01,1.24
Nolan Arenado,625,66,18,78,87,228,3,0.304,0.44,0.25,0.47,-0.47,0.57,0.05,-0.06,1.24
Josh Bell,625,74,23,77,122,232,2,0.326,0.49,0.32,0.46,-0.65,0.58,0.04,-0.0,1.24
Tommy Edman,625,78,16,67,111,221,13,0.302,0.51,0.22,0.4,-0.59,0.55,0.2,-0.07,1.23
Andrew Benintendi,625,71,22,75,112,233,5,0.315,0.47,0.3,0.44,-0.6,0.58,0.08,-0.03,1.23
Noelvi Marte,625,75,21,74,143,238,17,0.301,0.5,0.28,0.44,-0.77,0.6,0.26,-0.07,1.23
Daulton Varsho,625,80,30,81,163,243,11,0.29,0.53,0.4,0.48,-0.87,0.61,0.17,-0.1,1.22
Jakob Marsee,625,77,14,57,138,204,27,0.32,0.51,0.2,0.34,-0.74,0.51,0.42,-0.02,1.22
Justin Crawford,625,76,12,59,132,216,25,0.317,0.51,0.16,0.35,-0.71,0.54,0.39,-0.03,1.22
Joc Pederson,625,76,25,78,140,229,6,0.325,0.5,0.34,0.47,-0.75,0.57,0.09,-0.0,1.22
Jackson Holliday,625,80,16,65,139,222,17,0.327,0.53,0.23,0.39,-0.75,0.56,0.26,0.0,1.21
Willi Castro,625,78,15,65,137,223,18,0.329,0.52,0.2,0.39,-0.74,0.56,0.27,0.0,1.21
Jonathan India,625,76,16,68,121,214,10,0.338,0.51,0.22,0.4,-0.65,0.54,0.16,0.03,1.2
