Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Ben Williamson,625,72,15,69,136,218,11,0.319,0.48,0.2,0.41,-0.73,0.55,0.17,-0.02,1.06
Liam Hicks,625,68,14,68,119,208,7,0.334,0.45,0.2,0.4,-0.64,0.52,0.1,0.02,1.06
Rob Refsnyder,625,74,20,74,154,222,8,0.324,0.49,0.27,0.44,-0.83,0.56,0.13,-0.01,1.06
Lenyn Sosa,625,69,21,77,139,238,5,0.299,0.45,0.29,0.46,-0.74,0.6,0.08,-0.08,1.06
Brandon Marsh,625,75,18,74,169,232,12,0.329,0.49,0.25,0.44,-0.91,0.58,0.19,0.01,1.05
Nick Fortes,625,71,18,70,124,216,7,0.306,0.47,0.25,0.41,-0.67,0.54,0.1,-0.06,1.05
Gavin Sheets,625,65,20,75,131,228,4,0.311,0.43,0.28,0.45,-0.7,0.57,0.06,-0.05,1.05
Jordan Beck,625,71,18,70,171,233,18,0.315,0.47,0.25,0.42,-0.92,0.59,0.27,-0.03,1.05
Carter Jensen,625,73,19,74,154,227,7,0.323,0.49,0.26,0.44,-0.83,0.57,0.12,-0.01,1.04
Ramón Urías,625,71,19,72,141,229,7,0.316,0.47,0.26,0.43,-0.76,0.57,0.1,-0.03,1.04
Alek Thomas,625,73,17,70,141,226,11,0.303,0.48,0.23,0.42,-0.76,0.57,0.17,-0.07,1.04
James McCann,625,72,19,73,146,227,7,0.312,0.48,0.26,0.44,-0.78,0.57,0.12,-0.04,1.04
Charlie Condon,625,73,19,74,152,226,7,0.322,0.49,0.26,0.44,-0.81,0.57,0.12,-0.01,1.04
Sean Murphy,625,72,25,76,158,231,4,0.317,0.48,0.34,0.45,-0.85,0.58,0.06,-0.03,1.03
Nick Gonzales,625,71,15,70,131,233,5,0.32,0.47,0.2,0.42,-0.71,0.59,0.08,-0.02,1.03
Connor Norby,625,77,19,74,162,229,11,0.308,0.51,0.26,0.44,-0.87,0.57,0.17,-0.05,1.03
Garrett Mitchell,625,75,16,71,170,217,17,0.32,0.5,0.22,0.42,-0.91,0.55,0.27,-0.02,1.03
Kyle Isbel,625,74,13,64,126,215,11,0.302,0.49,0.18,0.38,-0.67,0.54,0.17,-0.07,1.03
Henry Davis,625,73,19,71,149,222,9,0.314,0.48,0.26,0.43,-0.8,0.56,0.14,-0.04,1.03
Kyle Teel,625,77,17,68,153,216,8,0.332,0.51,0.24,0.41,-0.82,0.54,0.13,0.01,1.02
Bryan Reynolds,644,73,19,76,158,239,5,0.325,0.48,0.26,0.45,-0.85,0.6,0.08,-0.01,1.02
Luke Raley,625,74,21,74,165,224,10,0.316,0.49,0.29,0.44,-0.88,0.56,0.15,-0.03,1.02
Joey Loperfido,625,72,19,75,162,229,10,0.309,0.48,0.27,0.45,-0.87,0.58,0.16,-0.05,1.02
Robert Hassell III,625,71,17,69,143,216,11,0.314,0.47,0.23,0.41,-0.77,0.54,0.18,-0.04,1.02
Colt Emerson,625,71,16,69,138,214,9,0.315,0.47,0.22,0.41,-0.74,0.54,0.15,-0.03,1.01
Max Muncy,625,72,19,76,157,229,8,0.312,0.47,0.26,0.45,-0.84,0.58,0.12,-0.04,1.01
Travis Bazzana,625,77,18,71,155,214,10,0.321,0.51,0.24,0.42,-0.83,0.54,0.15,-0.02,1.01
Jorge Soler,625,74,26,77,165,232,3,0.315,0.49,0.35,0.46,-0.89,0.58,0.04,-0.03,1.01
Dillon Dingler,625,71,19,79,150,232,4,0.312,0.47,0.27,0.47,-0.81,0.58,0.06,-0.04,1.0
Rhys Hoskins,625,71,23,77,162,225,5,0.318,0.47,0.32,0.46,-0.87,0.56,0.08,-0.02,1.0
George Valera,625,76,22,73,161,227,6,0.317,0.5,0.3,0.43,-0.87,0.57,0.09,-0.03,1.0
Javier Báez,625,70,18,74,144,227,9,0.293,0.46,0.25,0.44,-0.78,0.57,0.14,-0.09,0.99
Jared Triolo,625,70,12,60,142,204,15,0.329,0.47,0.16,0.36,-0.76,0.51,0.24,0.0,0.98
Joe Mack,625,72,20,74,156,223,8,0.305,0.48,0.27,0.44,-0.84,0.56,0.12,-0.06,0.98
Pavin Smith,625,73,19,73,154,217,6,0.331,0.48,0.25,0.43,-0.83,0.55,0.09,0.01,0.98
Jhostynxon Garcia,625,74,19,72,154,225,8,0.308,0.49,0.25,0.43,-0.83,0.56,0.13,-0.05,0.98
Colson Montgomery,625,74,28,90,184,234,3,0.296,0.49,0.38,0.53,-0.99,0.59,0.05,-0.08,0.97
Jake Cronenworth,630,71,15,65,126,204,4,0.332,0.47,0.2,0.39,-0.68,0.51,0.06,0.01,0.97
Ke'Bryan Hayes,625,66,13,64,127,208,12,0.304,0.44,0.18,0.38,-0.68,0.52,0.19,-0.06,0.97
Edouard Julien,625,73,18,67,164,220,8,0.344,0.48,0.24,0.4,-0.88,0.55,0.13,0.05,0.97
Blaze Alexander,625,71,18,72,161,220,10,0.32,0.47,0.25,0.43,-0.86,0.55,0.16,-0.02,0.97
Edgar Quero,625,64,15,67,120,212,3,0.325,0.43,0.21,0.4,-0.64,0.53,0.05,-0.0,0.97
Yoán Moncada,625,72,21,75,161,230,4,0.32,0.48,0.28,0.45,-0.86,0.58,0.06,-0.02,0.96
Travis d'Arnaud,625,71,20,73,153,227,6,0.306,0.47,0.27,0.43,-0.82,0.57,0.09,-0.06,0.96
Heriberto Hernández,625,73,21,76,167,221,7,0.316,0.48,0.28,0.45,-0.9,0.55,0.11,-0.03,0.96
Cam Smith,625,73,16,70,156,218,9,0.318,0.48,0.22,0.42,-0.84,0.55,0.15,-0.03,0.95
Logan O'Hoppe,625,69,25,76,165,233,5,0.302,0.46,0.34,0.45,-0.88,0.58,0.07,-0.07,0.95
Bryce Teodosio,625,70,15,67,164,214,18,0.301,0.46,0.21,0.4,-0.88,0.54,0.28,-0.07,0.94
Gavin Lux,625,74,13,62,136,212,6,0.333,0.49,0.17,0.37,-0.73,0.53,0.09,0.02,0.93
Owen Caissie,625,74,20,74,176,229,7,0.321,0.49,0.27,0.44,-0.94,0.58,0.11,-0.02,0.93
J.P. Crawford,637,69,12,59,122,195,6,0.334,0.46,0.16,0.35,-0.66,0.49,0.09,0.02,0.92
Joey Bart,625,71,18,70,156,215,6,0.326,0.47,0.24,0.42,-0.84,0.54,0.09,-0.0,0.92
Hunter Feduccia,625,72,17,68,149,212,7,0.319,0.48,0.23,0.4,-0.8,0.53,0.1,-0.02,0.92
Freddy Fermin,625,66,16,67,127,210,5,0.304,0.43,0.22,0.4,-0.68,0.53,0.08,-0.07,0.91
Josh Jung,625,69,20,75,156,234,5,0.297,0.46,0.27,0.45,-0.84,0.59,0.08,-0.08,0.91
